date,air_temp_51000h,air_temp_51101h,average_wave_period_51000h,average_wave_period_51101h,average_wave_period_51201h,dominant_wave_period_51000h,dominant_wave_period_51101h,dominant_wave_period_51201h,wave_height_21418t,wave_height_46402t,wave_height_51000h,wave_height_51101h,wave_height_51201h
2010-01-01,23.379166666666666,21.320833333333333,6.66625,7.06,8.429574468085107,11.69,10.603478260869565,12.357659574468085,39.86490624999974,NA,2.9429166666666666,2.595217391304348,2.221063829787234
2010-01-02,22.162499999999998,21.708333333333332,11.025416666666667,7.682916666666666,8.093829787234043,13.601666666666667,12.713333333333333,10.788510638297872,39.85512499999973,NA,6.2629166666666665,1.8929166666666666,1.7176595744680851
2010-01-03,23.479166666666668,23.691666666666666,6.629166666666666,6.61125,9.266875,13.375,11.36125,15.150208333333333,39.8381041666664,NA,1.90375,2.7508333333333335,1.57625
2010-01-04,24.304761904761904,23.576190476190476,5.956666666666667,6.807619047619048,7.40170731707317,11.219523809523809,9.449523809523809,12.239024390243902,39.845145833333,NA,2.289047619047619,3.111904761904762,1.7448780487804878
2010-01-05,24.21666666666667,23.45,6.468333333333334,8.684166666666666,8.141276595744682,11.142083333333334,13.027083333333334,11.826170212765957,39.8466666666664,NA,2.6175,3.9266666666666667,2.2348936170212768
2010-01-06,24.3375,23.533333333333335,8.0225,9.129166666666666,11.340416666666666,14.830416666666666,15.262916666666667,15.449583333333333,39.831677083333055,NA,3.4070833333333335,4.465833333333333,3.5308333333333333
2010-01-07,23.325,22.170833333333334,9.641666666666666,9.51,11.288958333333333,15.403333333333332,14.378333333333334,14.976458333333333,39.80510416666636,NA,3.78,4.4125,3.4760416666666667
2010-01-08,22.35,21.825,17.50958333333333,9.93375,11.049166666666666,21.33,13.786249999999999,13.963541666666666,39.815656249999726,NA,11.659583333333334,3.83625,3.277083333333333
2010-01-09,23.620833333333334,23.395833333333332,9.989583333333334,7.5125,11.21404255319149,14.564166666666667,13.524166666666666,13.987659574468085,39.85514583333304,NA,3.6983333333333333,3.16125,2.5863829787234045
2010-01-10,24.275,22.770833333333332,6.514583333333333,7.488333333333333,7.693958333333334,12.432083333333333,12.323333333333332,12.017291666666667,39.873708333333035,NA,2.66375,3.5970833333333334,1.8354166666666667
2010-01-11,22.270833333333332,21.366666666666667,25.05,11.132083333333334,11.903541666666667,29.385,16.273333333333333,15.009375,39.913312499999755,NA,20.733333333333334,5.96375,4.217708333333333
2010-01-12,21.9375,21.575,14.823333333333334,9.873333333333333,11.580208333333333,19.185833333333335,13.95,15.396875000000001,39.94369791666639,NA,8.851666666666667,3.799583333333333,3.7847916666666666
2010-01-13,22.941666666666666,21.479166666666668,8.61875,7.935833333333333,9.717916666666667,13.178333333333333,12.900833333333333,12.966041666666667,39.91805208333303,NA,2.9579166666666667,3.841666666666667,2.430833333333333
2010-01-14,21.404166666666665,18.904166666666665,7.992083333333333,8.629583333333333,9.594583333333333,13.159166666666666,12.9775,14.098749999999999,39.915812499999696,NA,4.2058333333333335,5.02625,4.206875
2010-01-15,20.5875,20,NA,8.307083333333333,9.416041666666667,37.82791666666667,12.152083333333334,12.62375,39.89679166666636,NA,31.134166666666665,2.6475,2.9920833333333334
2010-01-16,21.783333333333335,21.829166666666666,7.5945833333333335,9.575,8.35595744680851,11.399166666666666,15.565416666666668,12.212553191489361,39.88361458333307,NA,1.9475,2.3779166666666667,1.754468085106383
2010-01-17,21.995833333333334,21.775,11.774166666666666,12.850833333333334,12.96375,16.21,17.54625,18.899791666666665,39.87866666666634,NA,2.74375,4.27875,2.585208333333333
2010-01-18,22.020833333333332,21.833333333333332,12.526250000000001,11.884583333333333,12.777083333333334,16.734166666666667,15.227916666666667,16.169583333333335,39.88804166666639,NA,3.755,4.2316666666666665,3.115
2010-01-19,22.2625,21.820833333333333,11.102083333333333,10.800416666666667,11.195416666666667,15.134166666666667,14.018749999999999,14.801875,39.88945833333307,NA,3.506666666666667,3.3095833333333333,2.796875
2010-01-20,22.033333333333335,21.141666666666666,8.582916666666666,7.713333333333334,8.968125,13.715833333333332,12.685416666666667,13.365208333333333,39.88220833333309,NA,2.9445833333333336,2.555833333333333,2.3525
2010-01-21,19.966666666666665,20.679166666666667,NA,6.82125,7.788541666666666,37.63666666666666,10.6575,11.005,39.868135416666405,NA,31.6525,3.172083333333333,3.12
2010-01-22,21.508333333333333,22.4375,7.70375,6.223333333333334,8.567916666666667,12.417083333333332,9.234166666666667,11.895624999999999,39.88078124999967,NA,2.950833333333333,2.214166666666667,2.2289583333333334
2010-01-23,23.045833333333334,22.3125,5.852916666666667,6.0929166666666665,8.235625,11.150416666666667,10.7325,13.100624999999999,39.90740624999972,NA,1.8275,2.00375,1.3702083333333333
2010-01-24,22.2,21.725,10.49875,8.714166666666667,8.370888888888889,14.14125,12.457083333333333,12.654222222222222,39.904468749999744,NA,6.281666666666666,3.04125,1.6371111111111112
2010-01-25,22.075,22.416666666666668,8.67125,7.614583333333333,9.331739130434782,11.62625,11.854166666666666,11.558913043478261,39.894447916666365,NA,2.472916666666667,2.1670833333333333,1.9828260869565217
2010-01-26,23.13478260869565,22.65,6.7956521739130435,6.17875,8.499375,10.461739130434783,10.84125,12.440833333333332,39.913499999999736,NA,1.9808695652173913,2.5175,1.371875
2010-01-27,23.291666666666668,20.9,7.372916666666667,9.83,9.875833333333333,12.92375,15.072916666666666,14.914791666666668,39.90263541666636,NA,2.68875,5.142083333333334,2.3033333333333332
